,station,sample number,longitude (° E),latitude (°N),Cr(mg/kg),Cu(mg/kg),Zn(mg/kg),As(mg/kg),Cd(mg/kg),Pb(mg/kg),Hg(mg/kg),Ni(mg/kg),Al2O3 (%),clay (%),silt (%),sand (%),"mean grain size(Mz, Φ)",water depth (m)
97,98,BC100,118.35,38.8,117.981,45.874,118.234,15.918,0.35,33.064,0.105,51.8,12.87,28.64,70.73,0.64,7.13,29.12
98,99,BC101,118.29,38.78,109.096,41.167,106.538,17.323,0.283,31.819,0.132,47.4,12.51,31.34,68.66,0.0,7.32,26.15
99,100,BC102,118.33,38.78,135.1,44.436,122.152,15.912,0.373,34.452,0.117,51.7,12.67,32.41,67.59,0.0,7.38,27.47
100,101,BC103,118.38,38.78,117.185,43.535,115.901,16.787,0.356,32.376,0.128,50.0,12.43,37.12,62.88,0.0,7.57,28.64
101,102,BC104,118.42,38.78,110.078,40.972,106.762,20.444,0.318,30.024,0.048,48.2,12.42,36.21,63.79,0.0,7.55,27.92
102,103,BC105,118.47,38.78,135.537,48.735,126.584,20.632,0.32,34.882,0.143,57.5,12.54,32.11,67.89,0.0,7.37,28.01
103,104,BC106,118.52,38.78,124.922,45.136,125.208,25.446,0.317,33.517,0.095,53.7,12.39,32.19,67.81,0.0,7.35,28.67
104,105,BC107,118.56,38.78,111.184,40.182,105.001,15.557,0.263,29.491,0.144,46.8,12.55,31.44,68.56,0.0,7.33,28.67
105,106,BC108,118.63,38.78,104.744,42.288,113.12,15.482,0.28,27.264,0.095,52.1,12.53,27.68,71.6,0.72,7.08,29.0
106,107,BC109,118.68,38.78,94.642,32.843,88.443,11.699,0.211,26.979,0.146,37.7,12.42,32.34,67.66,0.0,7.35,28.3
107,108,BC110,118.72,38.78,92.248,34.779,84.329,10.682,0.283,27.83,0.118,35.9,12.49,30.49,69.51,0.0,7.28,28.26
108,109,BC111,118.79,38.78,120.139,42.374,110.609,14.565,0.272,30.249,0.037,47.7,12.81,31.7,68.3,0.0,7.35,29.9
109,110,BC112,118.84,38.78,104.423,39.686,102.503,13.164,0.21,26.989,0.164,47.5,12.9,31.02,68.99,0.0,7.33,30.58
110,111,BC113,118.88,38.78,103.176,42.544,111.907,15.748,0.231,28.284,0.105,55.3,12.78,31.3,68.7,0.0,7.33,30.58
111,112,BC114,118.93,38.78,90.01,35.964,97.421,12.373,0.236,27.128,0.176,69.2,12.51,29.08,70.83,0.09,7.17,30.27
112,113,BC115,118.98,38.78,93.412,37.405,102.573,12.897,0.259,28.089,0.145,45.1,12.51,28.09,71.81,0.1,7.12,29.72
113,114,BC116,118.26,38.76,104.154,37.122,104.252,14.421,0.338,30.482,0.052,44.2,12.48,30.35,69.65,0.0,7.26,23.07
114,115,BC117,118.31,38.77,118.159,41.818,116.42,19.377,0.34,31.649,0.162,51.2,12.52,32.53,67.47,0.0,7.39,24.01
115,116,BC118,118.35,38.76,112.274,41.31,109.156,21.541,0.312,31.568,0.044,48.5,12.74,29.68,70.32,0.0,7.24,25.3
116,117,BC119,118.29,38.75,111.274,40.252,111.059,19.401,0.343,31.532,0.036,48.2,12.42,33.36,66.65,0.0,7.42,22.0
117,118,BC120,118.33,38.75,109.625,40.962,111.814,16.858,0.347,31.433,0.033,47.1,12.56,29.6,70.4,0.0,7.25,22.9
118,119,BC121,118.38,38.75,110.016,38.291,107.554,15.153,0.272,29.964,0.131,45.3,12.53,29.47,70.53,0.0,7.24,23.72
119,120,BC122,118.42,38.75,119.708,43.648,118.346,17.656,0.31,31.968,0.05,51.6,12.51,33.65,66.36,0.0,7.44,25.13
120,121,BC123,118.47,38.75,114.923,41.532,112.778,14.939,0.394,32.097,0.106,47.5,12.46,29.51,70.49,0.0,7.22,26.04
121,122,BC124,118.52,38.75,115.012,41.035,109.118,15.612,0.261,29.348,0.056,48.4,12.48,31.19,68.81,0.0,7.34,25.7
122,123,BC125,118.56,38.75,115.187,40.624,105.618,15.945,0.233,29.624,0.183,48.1,12.68,29.11,70.89,0.0,7.24,25.38
